Building,Room,Date/Time
Forbes,A427,4/24/19 11:54 AM
Forbes,267,4/24/19 11:56 AM
Forbes,206,4/24/19 12:03 PM
Forbes,237,4/24/19 12:05 PM
Forbes,239,4/24/19 12:06 PM
Forbes,268,4/24/19 12:07 PM
Forbes,262,4/24/19 12:12 PM
Forbes,111,4/24/19 12:12 PM
Forbes,266,4/24/19 12:14 PM
Forbes,207,4/24/19 12:18 PM
Forbes,215,4/24/19 12:19 PM
Forbes,210,4/24/19 12:19 PM
Forbes,213,4/24/19 12:20 PM
Forbes,107,4/24/19 12:26 PM
Forbes,211,4/24/19 12:29 PM
Forbes,110,4/24/19 12:30 PM
Forbes,A227,4/24/19 12:32 PM
Forbes,A232,4/24/19 12:35 PM
Forbes,A234,4/24/19 12:35 PM
Forbes,A265,4/24/19 12:35 PM
Forbes,108,4/24/19 12:38 PM
Forbes,A331,4/24/19 12:43 PM
Forbes,A231,4/24/19 12:44 PM
Forbes,A377,4/24/19 12:46 PM
Forbes,A431,4/24/19 12:46 PM
Forbes,208,4/24/19 12:51 PM
Forbes,209,4/24/19 12:54 PM
Forbes,A228,4/24/19 12:55 PM
Forbes,A131,4/24/19 12:57 PM
Forbes,A236,4/24/19 12:59 PM
Forbes,A238,4/24/19 1:01 PM
Forbes,A137,4/24/19 1:04 PM
Forbes,A328,4/24/19 1:08 PM
Forbes,A338,4/24/19 1:18 PM
Forbes,A332,4/24/19 1:18 PM
Forbes,A334,4/24/19 1:21 PM
Forbes,A132,4/24/19 1:26 PM
Forbes,A378,4/24/19 1:37 PM
Forbes,A374,4/24/19 1:39 PM
Forbes,A336,4/24/19 1:49 PM
Forbes,A432,4/24/19 1:52 PM
Forbes,A376,4/24/19 1:55 PM
Forbes,A428,4/24/19 2:06 PM
Forbes,A438,4/24/19 2:12 PM
Forbes,A434,4/24/19 2:18 PM
Forbes,A436,4/24/19 2:31 PM
Baker,E306,4/25/19 12:00 AM
Murley-Pivirotto,T304,4/25/19 12:00 AM
Hargadon,G207,4/25/19 10:02 AM
Baker,E321,4/25/19 10:10 AM
Baker,E323,4/25/19 10:10 AM
Lauritzen,D311,4/25/19 10:11 AM
Murley-Pivirotto,T402,4/25/19 10:13 AM
1981,F229,4/25/19 10:14 AM
1981,F212,4/25/19 10:17 AM
1981,F023,4/25/19 10:19 AM
Baker,S403,4/25/19 10:25 AM
Baker,S405,4/25/19 10:25 AM
Baker,E427,4/25/19 10:25 AM
1981,F123,4/25/19 10:28 AM
Hargadon,G407B,4/25/19 10:39 AM
Hargadon,G406,4/25/19 10:40 AM
Wendell,B311,4/25/19 10:40 AM
Wendell,B313,4/25/19 10:41 AM
Wendell,B318,4/25/19 10:41 AM
Lauritzen,D114,4/25/19 10:45 AM
Lauritzen,D107,4/25/19 10:47 AM
Baker,E108,4/25/19 10:51 AM
Baker,S406,4/25/19 10:52 AM
Baker,E429,4/25/19 10:52 AM
Baker,S404,4/25/19 10:53 AM
Wendell,B317,4/25/19 10:53 AM
Wendell,B412,4/25/19 10:53 AM
Wendell,B414,4/25/19 10:54 AM
Lauritzen,D308,4/25/19 10:54 AM
Wendell,B205,4/25/19 10:54 AM
Lauritzen,D302,4/25/19 10:54 AM
Wendell,B204,4/25/19 10:54 AM
Lauritzen,D201,4/25/19 10:55 AM
Lauritzen,D203,4/25/19 10:55 AM
Lauritzen,D108,4/25/19 10:58 AM
